Datetime,Type,Ticker,Fullname,Positions,Share Price,Book Value,Category
2024-11-24 20:00:06,Assets,512290.SS,BIO ETF,296900.0,0.9279999732971193,275523.1920719147,Investments in CN
2024-11-24 20:00:06,Assets,512200.SS,Real Estate ETF,99327.0,1.5839999914169312,157333.96714746952,Investments in CN
2024-11-24 20:00:06,Assets,DELL,Dell Technology,3031.0,1044.8014821384422,3166793.2923616185,Investments in US
2024-11-24 20:00:06,Assets,AMZN,Amazon,179.0,1428.1343420654302,255636.047229712,Investments in US
2024-11-24 20:00:06,Assets,BTC-USD,BTC,3.3747,710327.7499516457,2397143.057761818,Crypto to the Mars
2024-11-24 20:00:06,Assets,IBKR,Interactive Brokers,4.0653,1388.2868426948553,5643.802501607395,Investments in US
2024-11-24 20:00:06,Assets,SOXL,SOXL,4.0,206.41004508132937,825.6401803253175,Investments in US
2024-11-24 20:00:06,Assets,VOO,Vanguard S&P 500 ETF,30.0,3966.419875091175,118992.59625273524,Investments in US
2024-11-24 20:00:06,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
2024-11-24 20:00:06,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-11-24 20:00:06,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-11-24 20:00:06,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-11-24 20:00:06,Assets,Cash-CNY,Cash in CNY,1262000.0,1.0,1262000.0,Cash in CNY
2024-11-24 20:00:06,Assets,CNY=X,Cash in USD,1.0,7.244999885559082,7.244999885559082,Cash in USD
2024-11-24 20:00:06,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-11-24 20:00:06,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-11-25 20:00:17,Assets,512290.SS,BIO ETF,296900.0,0.921999990940094,273741.7973101139,Investments in CN
2024-11-25 20:00:17,Assets,512200.SS,Real Estate ETF,99327.0,1.5770000219345093,156638.681178689,Investments in CN
2024-11-25 20:00:17,Assets,DELL,Dell Technology,3031.0,1043.574243963012,3163073.5334518896,Investments in US
2024-11-25 20:00:17,Assets,AMZN,Amazon,179.0,1458.2964964010243,261035.07285578336,Investments in US
2024-11-25 20:00:17,Assets,BTC-USD,BTC,3.3747,680413.5591039769,2296191.637908191,Crypto to the Mars
2024-11-25 20:00:17,Assets,IBKR,Interactive Brokers,4.0653,1382.5041592018897,5620.2941584034415,Investments in US
2024-11-25 20:00:17,Assets,SOXL,SOXL,4.0,212.31986486042024,849.279459441681,Investments in US
2024-11-25 20:00:17,Assets,VOO,Vanguard S&P 500 ETF,30.0,3975.875742712291,119276.27228136871,Investments in US
2024-11-25 20:00:17,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
2024-11-25 20:00:17,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-11-25 20:00:17,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-11-25 20:00:17,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-11-25 20:00:17,Assets,Cash-CNY,Cash in CNY,1262000.0,1.0,1262000.0,Cash in CNY
2024-11-25 20:00:17,Assets,CNY=X,Cash in USD,1.0,7.238999843597412,7.238999843597412,Cash in USD
2024-11-25 20:00:17,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-11-25 20:00:17,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-11-26 20:00:30,Assets,512290.SS,BIO ETF,296900.0,0.9259999990463256,274929.3997168541,Investments in CN
2024-11-26 20:00:30,Assets,512200.SS,Real Estate ETF,99327.0,1.5859999656677246,157532.61858987808,Investments in CN
2024-11-26 20:00:30,Assets,DELL,Dell Technology,3031.0,1027.8276682173164,3115345.662366686,Investments in US
2024-11-26 20:00:30,Assets,AMZN,Amazon,179.0,1507.2968213853455,269806.13102797687,Investments in US
2024-11-26 20:00:30,Assets,BTC-USD,BTC,3.3747,666499.2567451671,2249235.041737915,Crypto to the Mars
2024-11-26 20:00:30,Assets,IBKR,Interactive Brokers,4.0653,1399.1769278957363,5688.0739649745365,Investments in US
2024-11-26 20:00:30,Assets,SOXL,SOXL,4.0,203.9846925627517,815.9387702510066,Investments in US
2024-11-26 20:00:30,Assets,VOO,Vanguard S&P 500 ETF,30.0,4005.076018930588,120152.28056791762,Investments in US
2024-11-26 20:00:30,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
2024-11-26 20:00:30,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-11-26 20:00:30,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-11-26 20:00:30,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-11-26 20:00:30,Assets,Cash-CNY,Cash in CNY,1262000.0,1.0,1262000.0,Cash in CNY
2024-11-26 20:00:30,Assets,CNY=X,Cash in USD,1.0,7.251500129699707,7.251500129699707,Cash in USD
2024-11-26 20:00:30,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-11-26 20:00:30,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-11-27 20:00:12,Assets,512290.SS,BIO ETF,296900.0,0.9419999718666076,279679.7916471958,Investments in CN
2024-11-27 20:00:12,Assets,512200.SS,Real Estate ETF,99327.0,1.6130000352859497,160214.45450484753,Investments in CN
2024-11-27 20:00:12,Assets,DELL,Dell Technology,3031.0,901.1703712306372,2731447.395200061,Investments in US
2024-11-27 20:00:12,Assets,AMZN,Amazon,179.0,1490.6480239705345,266825.99629072566,Investments in US
2024-11-27 20:00:12,Assets,BTC-USD,BTC,3.0,699523.9047719724,2098571.7143159173,Crypto to the Mars
2024-11-27 20:00:12,Assets,DOGE-USD,DOGE,89986.0,2.961868027263179,266526.65630130447,Crypto to the Mars
2024-11-27 20:00:12,Assets,IBKR,Interactive Brokers,4.0653,1386.0982901354146,5634.905378887501,Investments in US
2024-11-27 20:00:12,Assets,SOXL,SOXL,4.0,195.4781857225953,781.9127428903812,Investments in US
